set_id	term_name	observed_edges	lambda	p_value	log2_Anscombe_ratio	set_size	max_possible_edges
GO:0071986	Ragulator complex	15	0.091734693877551	1.91277883717946e-28	2.52091994440875	6	15
GO:0072357	PTW/PP1 phosphatase complex	2	0.000586734693877551	1.72061481083188e-07	1.3303547494126	3	3
GO:0072380	TRC complex	0	0	1	0	1	0
GO:0072487	MSL complex	1	0.000229591836734694	0.00022953913642276	0.936793052760194	2	1
GO:0072534	perineuronal net	12	0.0242857142857143	8.59287373208839e-29	2.47693162953437	7	21
GO:0072536	interleukin-23 receptor complex	1	0.00142857142857143	0.0014265335235378	0.934491789416206	2	1
GO:0072546	EMC complex	45	0.105688775510204	9.06957777486453e-101	3.28032535858219	10	45
GO:0072557	IPAF inflammasome complex	1	0.00321428571428571	0.00320398718405126	0.931077928238645	2	1
GO:0072558	NLRP1 inflammasome complex	4	0.0223214285714286	1.0160715927242e-08	1.73045225401809	4	6
GO:0072559	NLRP3 inflammasome complex	9	0.0467857142857143	2.83774484352635e-18	2.23711827646553	6	15
GO:0072563	endothelial microparticle	0	0	1	0	1	0
GO:0072589	box H/ACA scaRNP complex	0	0	1	0	1	0
GO:0072669	tRNA-splicing ligase complex	17	0.0146938775510204	1.92408276489363e-46	2.73926395099546	7	21
GO:0072687	meiotic spindle	1	0.02	0.0198013266932447	0.89975353011746	9	36
GO:0089701	U2AF complex	2	0.00170918367346939	1.45899112997784e-06	1.32820220180651	4	6
GO:0090534	calcium ion-transporting ATPase complex	1	0.000612244897959184	0.000611870283499898	0.936057809071585	2	1
GO:0090535	WICH complex	0	0	1	0	1	0
GO:0090536	NoRC complex	0	0	1	0	1	0
GO:0090537	CERF complex	1	0.00112244897959184	0.00112181926929784	0.935078648448258	3	3
GO:0090571	RNA polymerase II transcription repressor complex	0	0.00387755102040816	1	-0.00742053262182563	3	3
GO:0090619	meiotic spindle pole	0	0	1	0	1	0
GO:0090651	apical cytoplasm	0	0	1	0	1	0
GO:0090661	box H/ACA telomerase RNP complex	0	0	1	0	1	0
GO:0090694	Scc2-Scc4 cohesin loading complex	1	0.00168367346938776	0.00168084347781796	0.934003104673957	2	1
GO:0090724	central region of growth cone	1	0.0199234693877551	0.0197263086181017	0.899893303575758	4	6
GO:0090733	tenascin complex	0	0.00344387755102041	1	-0.00659438587827022	4	6
GO:0097013	phagocytic vesicle lumen	1	0.0124744897959184	0.0123970058735355	0.913629191448132	4	6
GO:0097025	MPP7-DLG1-LIN7 complex	3	0.00295918367346939	4.30924036931372e-09	1.57929257639658	4	6
GO:0097057	TRAF2-GSTP1 complex	0	0	1	0	1	0
GO:0097058	CRLF-CLCF1 complex	1	0.000204081632653061	0.0002040399918384	0.936842095661967	2	1
GO:0097059	CNTFR-CLCF1 complex	1	0.000816326530612245	0.000815660685154976	0.935665985313746	2	1
GO:0097129	cyclin D2-CDK4 complex	1	0.000612244897959184	0.000611870283499898	0.936057809071585	2	1
GO:0097130	cyclin D3-CDK4 complex	0	0	1	0	1	0
GO:0097131	cyclin D1-CDK6 complex	0	0	1	0	1	0
GO:0097133	cyclin D3-CDK6 complex	1	0.00229591836734694	0.00229065920081446	0.9328316102704	2	1
GO:0097134	cyclin E1-CDK2 complex	1	0.00107142857142857	0.00107028184088477	0.935176504721955	2	1
GO:0097135	cyclin E2-CDK2 complex	0	0	1	0	1	0
GO:0097136	Bcl-2 family protein complex	18	0.0439540816326531	5.61773804924805e-41	2.72740415497723	7	21
GO:0097145	BAK complex	1	0.00244897959183673	0.00244299674267101	0.932539033701618	2	1
GO:0097149	centralspindlin complex	1	0.000357142857142857	0.000357015351660121	0.936547888253724	2	1
GO:0097165	nuclear stress granule	0	0.00119897959183673	1	-0.00230267003433127	4	6
GO:0097169	AIM2 inflammasome complex	1	0.00693877551020408	0.00689096068098906	0.924009159813634	2	1
GO:0097179	protease inhibitor complex	0	0	1	0	1	0
GO:0097180	serine protease inhibitor complex	2	0.00413265306122449	8.51592013510176e-06	1.323576446683	5	10
GO:0097196	Shu complex	1	0.000918367346938775	0.000917524722193903	0.935470153217947	2	1
GO:0097197	tetraspanin-enriched microdomain	3	0.0061734693877551	3.90324785016201e-08	1.57318394471828	7	21
GO:0097208	alveolar lamellar body	2	0.00566326530612245	1.59758701859926e-05	1.32067012719773	5	10
GO:0097209	epidermal lamellar body	2	0.000918367346938775	4.21441197615081e-07	1.32971810062109	4	6
GO:0097226	sperm mitochondrial sheath	0	0.00244897959183673	1	-0.00469552525645312	3	3
GO:0097227	sperm annulus	10	0.0406887755102041	3.30309592924989e-21	2.32073186680547	6	15
GO:0097229	sperm end piece	0	0	1	0	1	0
GO:0097233	alveolar lamellar body membrane	0	5.10204081632653e-05	1	-9.81358440319546e-05	2	1
GO:0097255	R2TP complex	2	0.00334183673469388	5.57150637166168e-06	1.32508264553514	3	3
GO:0097268	cytoophidium	1	0.000892857142857143	0.000892458664495496	0.935519106257934	3	3
GO:0097342	ripoptosome	3	0.0060969387755102	3.75436406668527e-08	1.57332878877093	3	3
GO:0097356	perinucleolar compartment	0	0.000153061224489796	1	-0.000294367488453351	2	1
GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	10	0.0115561224489796	1.15701651184295e-26	2.37314481904225	5	10
GO:0097362	MCM8-MCM9 complex	1	0.000918367346938775	0.000917524722193903	0.935470153217947	2	1
GO:0097413	Lewy body	0	0	1	0	1	0
GO:0097418	neurofibrillary tangle	2	0.0188010204081633	0.000174539473225615	1.29619437940418	4	6
GO:0097422	tubular endosome	6	0.0294387755102041	8.81515968914482e-13	1.9892160574023	5	10
GO:0097427	microtubule bundle	0	0.000204081632653061	1	-0.000392463296103651	2	1
GO:0097433	dense body	1	0.00357142857142857	0.00356505859922136	0.930397090509532	3	3
GO:0097441	basal dendrite	0	0.000459183673469388	1	-0.000882742333834563	2	1
GO:0097442	CA3 pyramidal cell dendrite	0	0	1	0	1	0
GO:0097443	sorting endosome	0	0.0158673469387755	1	-0.029894235648813	5	10
GO:0097444	spine apparatus	0	0.00308673469387755	1	-0.00591331857071475	4	6
GO:0097447	dendritic tree	0	0	1	0	1	0
GO:0097449	astrocyte projection	1	0.0174234693877551	0.0172725584799692	0.904474193582109	9	36
GO:0097450	astrocyte end-foot	0	0.0013265306122449	1	-0.00254720290912458	4	6
GO:0097451	glial limiting end-foot	0	0	1	0	1	0
GO:0097452	GAIT complex	0	0	1	0	1	0
GO:0097453	mesaxon	0	0.000178571428571429	1	-0.000343417059780471	2	1
GO:0097457	hippocampal mossy fiber	0	0	1	0	1	0
GO:0097470	ribbon synapse	0	0.00678571428571429	1	-0.0129362625835029	4	6
GO:0097486	multivesicular body lumen	4	0.00318877551020408	4.29711233397089e-12	1.76605228325709	6	15
GO:0097487	multivesicular body, internal vesicle	0	0.00512755102040816	1	-0.00979649877365274	4	6
GO:0097504	Gemini of Cajal bodies	36	0.0818622448979592	1.84044961436384e-81	3.15752210733036	9	36
GO:0097512	cardiac myofibril	1	0.00683673469387755	0.00681341739157063	0.924201904643223	4	6
GO:0097513	myosin II filament	3	0.0195663265306122	1.22427532189422e-06	1.54827387982088	3	3
GO:0097519	DNA recombinase complex	1	2.55102040816327e-05	2.55095533277212e-05	0.937185489367191	2	1
GO:0097524	sperm plasma membrane	0	0.00165816326530612	1	-0.00318260070511378	4	6
GO:0097539	ciliary transition fiber	11	0.0113265306122449	9.75890860747175e-30	2.43995098919246	7	21
GO:0097543	ciliary inversin compartment	3	0.000816326530612245	9.0591188508032e-11	1.58339392707683	3	3
GO:0097550	transcription preinitiation complex	6	0.00931122448979592	8.97929935996481e-16	2.0260391616898	7	21
GO:0097575	lateral cell cortex	1	0.000510204081632653	0.000509943906170321	0.936253800791427	2	1
GO:0097598	sperm cytoplasmic droplet	0	0.00346938775510204	1	-0.00664300894596037	2	1
GO:0097629	extrinsic component of omegasome membrane	0	0	1	0	1	0
GO:0097648	G protein-coupled receptor complex	0	0	1	0	1	0
GO:0097728	9+0 motile cilium	1	0.00704081632653061	0.00701608784951608	0.923816466471913	5	10
GO:0097731	9+0 non-motile cilium	0	0.0132397959183673	1	-0.0250287056206032	5	10
GO:0097733	photoreceptor cell cilium	0	0.00910714285714286	1	-0.017309098434788	4	6
GO:0098536	deuterosome	3	0.00525510204081633	2.40607936128376e-08	1.57492399586598	3	3
GO:0098548	cytoplasmic side of Golgi membrane	0	0	1	0	1	0
GO:0098556	cytoplasmic side of rough endoplasmic reticulum membrane	0	0.000510204081632653	1	-0.000980758166643114	2	1
GO:0098559	cytoplasmic side of early endosome membrane	0	0.000331632653061225	1	-0.000637644468527876	2	1
GO:0098560	cytoplasmic side of late endosome membrane	0	0	1	0	1	0
GO:0098562	cytoplasmic side of membrane	0	0	1	0	1	0
