set1	size1	set2	size2	observed_edges	lambda	p_value	log2_Anscombe_ratio	term_name_1	term_name_2
GO:0005980	9	GO:0044245	4	6	0.0669387755102041	1.17986117582819e-10	1.92525345939693	glycogen catabolic process	polysaccharide digestion
GO:0005105	6	GO:0042043	12	6	0.0669387755102041	1.17986117582819e-10	1.92525345939693	type 1 fibroblast growth factor receptor binding	neurexin family protein binding
GO:0034087	7	GO:0071459	4	6	0.0669642857142857	1.18253577439681e-10	1.92521182197475	establishment of mitotic sister chromatid cohesion	protein localization to chromosome, centromeric region
GO:0030893	7	GO:0042471	3	6	0.0669642857142857	1.18253577439681e-10	1.92521182197475	meiotic cohesin complex	ear morphogenesis
GO:0006729	7	GO:0071287	4	6	0.067015306122449	1.1879000719585e-10	1.92512855433983	tetrahydrobiopterin biosynthetic process	cellular response to manganese ion
GO:0002690	8	GO:0070294	10	6	0.0673469387755102	1.22326269337428e-10	1.92458754887612	positive regulation of leukocyte chemotaxis	renal sodium ion absorption
GO:0002690	8	GO:0072112	9	6	0.0673469387755102	1.22326269337428e-10	1.92458754887612	positive regulation of leukocyte chemotaxis	podocyte differentiation
GO:0030049	10	GO:0060415	3	6	0.0673469387755102	1.22326269337428e-10	1.92458754887612	muscle filament sliding	muscle tissue morphogenesis
GO:0030049	10	GO:0060471	2	6	0.0673469387755102	1.22326269337428e-10	1.92458754887612	muscle filament sliding	cortical granule exocytosis
GO:0005542	5	GO:0035999	5	6	0.0673469387755102	1.22326269337428e-10	1.92458754887612	folic acid binding	tetrahydrofolate interconversion
GO:0030131	5	GO:0110010	4	6	0.0676020408163265	1.25105546986445e-10	1.92417166675422	clathrin adaptor complex	basolateral protein secretion
GO:0010594	6	GO:0017154	12	6	0.0676530612244898	1.25667643527748e-10	1.92408851909458	regulation of endothelial cell migration	semaphorin receptor activity
GO:0030868	6	GO:0046655	9	6	0.0677551020408163	1.26798127010111e-10	1.92392225252234	smooth endoplasmic reticulum membrane	folic acid metabolic process
GO:0010874	4	GO:0033700	9	6	0.0678571428571429	1.2793703907444e-10	1.92375602426479	regulation of cholesterol efflux	phospholipid efflux
GO:0034197	4	GO:0048261	6	6	0.0678571428571429	1.2793703907444e-10	1.92375602426479	triglyceride transport	negative regulation of receptor-mediated endocytosis
