threshold	order	size
833	13634	135429
834	13615	134817
835	13598	134209
836	13581	133594
837	13563	132953
838	13547	132351
839	13528	131775
840	13497	131190
841	13471	130487
842	13454	129861
843	13431	129303
844	13411	128743
845	13392	128148
846	13377	127572
847	13357	127020
848	13338	126404
849	13321	125792
850	13298	125228
851	13271	124678
852	13256	124178
853	13241	123593
854	13217	123036
855	13200	122446
856	13178	121862
857	13152	121277
858	13129	120682
859	13113	120125
860	13092	119615
861	13072	119048
862	13053	118425
863	13029	117868
864	13010	117357
865	12988	116769
866	12974	116235
867	12955	115736
868	12931	115206
869	12903	114687
870	12880	114179
871	12851	113640
872	12835	113143
873	12814	112661
874	12799	112170
875	12777	111647
876	12758	111134
877	12742	110607
878	12723	110110
879	12700	109622
880	12679	109156
881	12652	108654
882	12628	108172
883	12610	107657
884	12590	107167
885	12564	106703
886	12536	106215
887	12513	105712
888	12488	105236
889	12471	104735
890	12451	104265
891	12427	103738
892	12404	103233
893	12373	102761
894	12342	102343
895	12309	101903
896	12285	101475
897	12262	100988
898	12243	100535
899	12213	100036
900	12181	99589
901	12135	97748
902	12110	96814
903	12076	95838
904	12045	94814
905	12010	93903
906	11961	92937
907	11932	91963
908	11903	90977
909	11888	90052
910	11854	89097
911	11821	88155
912	11782	87205
913	11742	86312
914	11707	85418
915	11678	84495
916	11644	83535
917	11612	82685
918	11583	81829
919	11548	81001
920	11517	80170
921	11478	79407
922	11448	78575
923	11408	77747
924	11377	76934
925	11338	76145
926	11297	75352
927	11248	74597
928	11216	73816
929	11164	73051
930	11131	72305
931	11088	71615
932	11051	70860
933	11013	70059
934	10986	69413
935	10941	68693
936	10904	67981
937	10854	67227
938	10825	66470
939	10793	65734
940	10771	65008
941	10732	64256
942	10686	63562
943	10639	62800
944	10588	62061
945	10546	61414
946	10517	60737
947	10455	59984
948	10421	59305
949	10380	58657
950	10334	57990
951	10292	57308
952	10236	56626
953	10163	55930
954	10104	55225
955	10048	54622
956	9989	53995
957	9931	53324
958	9881	52716
959	9820	52031
960	9769	51338
961	9711	50661
962	9637	49960
963	9586	49300
964	9536	48615
965	9491	47886
966	9432	47206
967	9370	46532
968	9304	45878
969	9241	45189
970	9170	44466
971	9096	43764
972	9049	43032
973	8960	42242
974	8879	41510
975	8818	40801
976	8740	40032
977	8665	39307
978	8592	38593
979	8493	37835
980	8388	36984
981	8295	36167
982	8202	35313
983	8109	34489
984	8005	33686
985	7897	32916
986	7802	32089
987	7690	31224
988	7572	30372
989	7461	29512
990	7292	28573
991	7140	27644
992	6976	26605
993	6800	25452
994	6621	24241
995	6412	22678
996	6157	21010
997	5854	19257
998	5494	17122
999	4910	14053
